pMFK-862 pWS064-mScarlet丨Aga1丨pCCW12-Aga2-AcCoh C-Display,pWS064,pMFK001,pMFK002,pMFK852
pMFK-1102 pWS064-mScarlet丨Spacer丨pCCW12-Sag1,pWS064,pMFK001,pWS1443,pMFK1081
pMFK-1185 pWS064-mTagBFP[1/2]~pLexO-Ste2[1/2]~pCCW12-Aga2-Nb3-4 [2/E],pWS064,pMFK425,pMFK1112,pMFK1174
pMFK-1186 pWS064-mTagBFP[1/2]~pLexO-Ste2[1/2]~pCCW12-Aga2-Nb3-7 [2/E],pWS064,pMFK425,pMFK1112,pMFK1175
pMFK-1187 pWS064-mTagBFP[1/2]~pLexO-Ste2[1/2]~pCCW12-Aga2-Nb3-12 [2/E],pWS064,pMFK425,pMFK1112,pMFK1176
pMFK-1188 pWS064-mTagBFP[1/2]~pLexO-Ste2[1/2]~pCCW12-Aga2-Nb3-15 [2/E],pWS064,pMFK425,pMFK1112,pMFK1177
